特征英文名,特征中文名,数据类型
ccrm_onsheet_cre_sign,ccrm_onsheet_cre_sign,string
ccrm_last_third_loan_sign,ccrm_last_third_loan_sign,string
ccrm_eff_agtpay_sign,ccrm_eff_agtpay_sign,string
ccrm_pos_acq_sign,ccrm_pos_acq_sign,string
ccrm_nra_cust_ind,ccrm_nra_cust_ind,string
ccrm_corp_annuit_sign,ccrm_corp_annuit_sign,string
ccrm_aml_level_cd,ccrm_aml_level_cd,string
ccrm_online_bat_sign,ccrm_online_bat_sign,string
ccrm_basic_acct_sign,ccrm_basic_acct_sign,string
ccrm_online_fin_sign,ccrm_online_fin_sign,string
ccrm_sc_core_cust_sign,ccrm_sc_core_cust_sign,string
ccrm_sc_upper_cust_sign,ccrm_sc_upper_cust_sign,string
ccrm_sc_down_cust_sign,ccrm_sc_down_cust_sign,string
ccrm_head_strate_sign,ccrm_head_strate_sign,string
ccrm_cloud_supervise_sign,ccrm_cloud_supervise_sign,string
ccrm_multi_bank_sign,ccrm_multi_bank_sign,string
ccrm_eqm_cust_ind,ccrm_eqm_cust_ind,string
ccrm_eqx_cust_ind,ccrm_eqx_cust_ind,string
ccrm_debt_fund_cust_ind,ccrm_debt_fund_cust_ind,string
ccrm_secu_cust_ind,ccrm_secu_cust_ind,string
ccrm_car_sc_cust_ind,ccrm_car_sc_cust_ind,string
ccrm_branch_strate_sign,ccrm_branch_strate_sign,string
ccrm_nude_loan_sign,ccrm_nude_loan_sign,string
ccrm_fta_cust_ind,ccrm_fta_cust_ind,string
ccrm_cloud_multi_bank_sign,ccrm_cloud_multi_bank_sign,string
ccrm_nbank_annu_fee_sign,ccrm_nbank_annu_fee_sign,string
ccrm_mbank_annu_fee_sign,ccrm_mbank_annu_fee_sign,string
ccrm_credit_cust_ind,ccrm_credit_cust_ind,string
ccrm_ph_sm_cust_ind,ccrm_ph_sm_cust_ind,string
ccrm_tech_cust_ind,ccrm_tech_cust_ind,string
ccrm_tech_fin_cust_ind,ccrm_tech_fin_cust_ind,string
ctb_tp_cd,ctb_tp_cd,string
ctb_tp_cd_desc,ctb_tp_cd_desc,string
open_dt,open_dt,string
credit_level,credit_level,string
deposit_amt,deposit_amt,string
fin_amt,fin_amt,string
balance,balance,string
employee_number,employee_number,string
admin_zone_tp_cd,admin_zone_tp_cd,string
economic_region,economic_region,string
economic_region_desc,economic_region_desc,string
region_tp_cd,region_tp_cd,string
region_tp_cd_desc,region_tp_cd_desc,string
hierarchy_tp_cd,hierarchy_tp_cd,string
hierarchy_tp_cd_desc,hierarchy_tp_cd_desc,string
ecif_fx_risk_level,ecif_fx_risk_level,string
ecif_fx_risk_level_desc,ecif_fx_risk_level_desc,string
ecif_cro_bor_risk,ecif_cro_bor_risk,string
ecif_cro_bor_risk_desc,ecif_cro_bor_risk_desc,string
ecif_london_open_flag,ecif_london_open_flag,string
ecif_hk_open_flag,ecif_hk_open_flag,string
ecif_singapore_open_flag,ecif_singapore_open_flag,string
ecif_other_open_flag,ecif_other_open_flag,string
ecif_overseas_open_flag,ecif_overseas_open_flag,string
branchorgkey,branchorgkey,string
etl_dt,etl_dt,string
enterprisebelong,enterprisebelong,string
enterprisebelong_desc,enterprisebelong_desc,string
benif_name,benif_name,string
benif_cust_id,benif_cust_id,string
ccrm_fin_cust_ind,ccrm_fin_cust_ind,string
norm_acct_num,norm_acct_num,string
withbalance_acct_num,withbalance_acct_num,string
freeze_acct_num,freeze_acct_num,string
ccrm_newvalue_ind,ccrm_newvalue_ind,string
originnominalsum,originnominalsum,string
originexposuresum,originexposuresum,string
suboccupynominalsum,suboccupynominalsum,string
suboccupyexposuresum,suboccupyexposuresum,string
ccms_sm_ind,ccms_sm_ind,string
ccms_mse_ind,ccms_mse_ind,string
ccms_ty_ind,ccms_ty_ind,string
ccms_nchn_ind,ccms_nchn_ind,string
risk_quotas,risk_quotas,string
asset_scale,asset_scale,string
br_1st,br_1st,string
technology_fin_loan_lab,technology_fin_loan_lab,string
inclusive_fin_loan_lab,inclusive_fin_loan_lab,string
supplychain_fin_loan_lab,supplychain_fin_loan_lab,string
crossborder_fin_loan_lab,crossborder_fin_loan_lab,string
asset_fin_loan_lab,asset_fin_loan_lab,string
green_loan_lab,green_loan_lab,string
serialno,serialno,string
customerid,customerid,string
industrytype,industrytype,string
privateinfo,privateinfo,string
creditexposure,creditexposure,string
creditedate,creditedate,string
irscreditlevel,irscreditlevel,string
precustomerype,precustomerype,string
curcustomertype,curcustomertype,string
outcustomertype,outcustomertype,string
riskcustomer,riskcustomer,string
irscreditlevelchange,irscreditlevelchange,string
customerbelongchange,customerbelongchange,string
societyriskchange,societyriskchange,string
otherinfo,otherinfo,string
preserialno,preserialno,string
initdate,initdate,string
groupriskinfo,groupriskinfo,string
currentyear,currentyear,string
currentindustry,currentindustry,string
currentindustrytype,currentindustrytype,string
lastyear,lastyear,string
lastindustry,lastindustry,string
lastindustrytype,lastindustrytype,string
sellinfo,sellinfo,string
noincident,noincident,string
checkresult,checkresult,string
customer_id,customer_id,string
custname,custname,string
risk_desc,risk_desc,string
ruleid,ruleid,string
rule_type,rule_type,string
snapshot,snapshot,string
pt_dt,pt_dt,string
label,label,string
